ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Harrison R.,Sela D.,45,95.0,1115,585.0,6.0,3.0,5.0,7.0,3.0,6.0,7.0,5.0,6.0,2.0,3.0,2.0,Completed,1.3,3.5,1.3,3.2,1.33,3.4,1.37,3.39,1.38,3.5,1.33,3.31
6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Edmund K.,Anderson K.,49,12.0,992,2610.0,6.0,7.0,6.0,3.0,3.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,3.0,1.4,2.85,1.37,3.0,1.4,2.97,1.45,3.1,1.46,2.92,1.41
6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Rublev A.,Ferrer D.,32,33.0,1373,1360.0,7.0,5.0,6.0,7.0,6.0,2.0,6.0,7.0,6.0,2.0,3.0,2.0,Completed,1.9,1.9,1.8,1.9,2.0,1.8,1.9,2.01,2.15,2.01,1.88,1.92
6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Nishioka Y.,Kohlschreiber P.,168,29.0,318,1415.0,6.0,3.0,2.0,6.0,6.0,0.0,1.0,6.0,6.0,2.0,3.0,2.0,Completed,3.5,1.3,3.45,1.27,3.75,1.28,3.89,1.3,3.89,1.33,3.55,1.3
6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Troicki V.,Bolt A.,65,188.0,800,274.0,6.0,7.0,4.0,6.0,6.0,2.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,1.25,4.0,1.25,3.6,1.28,3.75,1.31,3.8,1.31,4.2,1.27,3.77
6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Schwartzman D.,Lajovic D.,26,75.0,1675,687.0,2.0,6.0,6.0,3.0,5.0,7.0,6.0,4.0,11.0,9.0,3.0,2.0,Completed,1.25,4.0,1.22,3.85,1.3,3.5,1.27,4.21,1.3,4.33,1.26,3.9
6,Melbourne,Australian Open,2018-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Dzumhur D.,Lorenzi P.,30,44.0,1391,1120.0,3.0,6.0,2.0,6.0,7.0,6.0,6.0,2.0,6.0,4.0,3.0,2.0,Completed,1.66,2.2,1.65,2.1,1.73,2.1,1.68,2.32,1.85,2.38,1.74,2.11
6,Melbourne,Australian Open,2018-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Kicker N.,Thompson J.,93,99.0,590,564.0,6.0,3.0,6.0,1.0,4.0,6.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed,5.5,1.14,5.0,1.14,4.5,1.2,6.2,1.16,6.2,1.18,5.44,1.15
6,Melbourne,Australian Open,2018-01-20,Grand Slam,Outdoor,Hard,3rd Round,5,Fognini F.,Benneteau J.,25,59.0,1715,855.0,3.0,6.0,6.0,2.0,6.0,1.0,4.0,6.0,6.0,3.0,3.0,2.0,Completed,1.44,2.75,1.45,2.55,1.44,2.75,1.5,2.84,1.53,2.95,1.45,2.78
6,Melbourne,Australian Open,2018-01-20,Grand Slam,Outdoor,Hard,3rd Round,5,Chung H.,Zverev A.,58,4.0,857,4610.0,5.0,7.0,7.0,6.0,2.0,6.0,6.0,3.0,6.0,0.0,3.0,2.0,Completed,2.25,1.61,2.35,1.53,2.25,1.61,2.59,1.58,2.59,1.7,2.32,1.62
