ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Monfils G.,De Bakker T.,12,47.0,2560,950.0,6.0,7.0,2.0,6.0,7.0,5.0,6.0,2.0,6.0,1.0,3.0,2.0,Completed,1.14,5.0,1.2,4.25,1.22,4.0,1.19,5.39,1.2,4.0,1.22,8.0,1.18,4.69
6,Melbourne,Australian Open,2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Gil F.,Cuevas P.,91,64.0,571,790.0,6.0,4.0,6.0,7.0,4.0,6.0,6.0,3.0,9.0,7.0,3.0,2.0,Completed,3.0,1.36,2.8,1.4,2.75,1.4,3.39,1.37,2.88,1.36,3.5,1.44,3.04,1.36
6,Melbourne,Australian Open,2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Kubot L.,Querrey S.,72,18.0,670,1860.0,5.0,7.0,6.0,2.0,3.0,6.0,6.0,1.0,8.0,6.0,3.0,2.0,Completed,3.5,1.28,3.35,1.28,3.75,1.25,3.69,1.33,3.5,1.25,3.81,1.33,3.6,1.27
6,Melbourne,Australian Open,2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Fish M.,Hanescu V.,17,50.0,1921,925.0,2.0,6.0,4.0,6.0,6.0,3.0,7.0,5.0,6.0,3.0,3.0,2.0,Completed,1.3,3.4,1.3,3.3,1.33,3.25,1.35,3.52,1.5,2.63,1.5,3.63,1.33,3.22
6,Melbourne,Australian Open,2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Kohlschreiber P.,Kamke T.,35,65.0,1195,736.0,1.0,6.0,4.0,6.0,7.0,6.0,6.0,4.0,6.0,4.0,3.0,2.0,Completed,1.28,3.5,1.25,3.75,1.33,3.25,1.35,3.49,1.25,3.5,1.35,3.75,1.29,3.44
6,Melbourne,Australian Open,2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Montanes A.,Brown D.,26,89.0,1495,573.0,6.0,4.0,6.0,2.0,3.0,6.0,2.0,6.0,7.0,5.0,3.0,2.0,Completed,1.28,3.5,1.3,3.35,1.33,3.25,1.29,4.01,1.29,3.25,1.33,4.01,1.3,3.41
6,Melbourne,Australian Open,2011-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Dodig I.,Karlovic I.,81,73.0,606,670.0,6.0,4.0,3.0,6.0,6.0,7.0,6.0,4.0,6.0,4.0,3.0,2.0,Completed,2.75,1.4,2.8,1.4,2.63,1.44,2.87,1.48,2.63,1.44,2.98,1.5,2.69,1.45
6,Melbourne,Australian Open,2011-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Bellucci T.,Mello R.,30,77.0,1355,627.0,7.0,5.0,7.0,5.0,4.0,6.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed,1.3,3.4,1.3,3.3,1.33,3.25,1.33,3.64,1.33,3.0,1.35,3.81,1.3,3.41
6,Melbourne,Australian Open,2011-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Riba P.,Ball C.,71,158.0,672,344.0,1.0,6.0,7.0,6.0,6.0,2.0,2.0,6.0,6.0,4.0,3.0,2.0,Completed,2.25,1.57,2.35,1.55,2.25,1.57,2.45,1.63,2.38,1.53,2.45,1.67,2.3,1.59
6,Melbourne,Australian Open,2011-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Baghdatis M.,Zemlja G.,22,141.0,1580,376.0,3.0,6.0,7.0,5.0,6.0,1.0,4.0,6.0,6.0,2.0,3.0,2.0,Completed,1.11,6.0,1.15,5.0,1.17,4.5,1.13,7.55,1.17,5.0,1.18,7.55,1.13,5.66
