ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Berankis R.,Sijsling I.,85.0,84.0,615.0,619.0,2.0,6.0,6.0,4.0,7.0,6.0,6.0,7.0,6.0,4.0,3.0,2.0,Completed,1.4,2.75,1.45,2.7,1.5,2.5,1.61,2.47,1.61,2.75,1.52,2.49
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Lacko L.,Gonzalez M.,99.0,98.0,553.0,554.0,4.0,6.0,6.0,2.0,7.0,5.0,6.0,7.0,6.0,1.0,3.0,2.0,Completed,1.33,3.25,1.35,3.1,1.36,3.0,1.35,3.5,1.4,3.5,1.35,3.14
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Matosevic M.,Kudryavtsev A.,81.0,127.0,628.0,439.0,6.0,4.0,6.0,7.0,4.0,6.0,7.0,5.0,6.0,3.0,3.0,2.0,Completed,1.36,3.0,1.35,3.1,1.36,3.0,1.33,3.69,1.4,3.69,1.34,3.18
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Istomin D.,46.0,50.0,915.0,850.0,5.0,7.0,6.0,3.0,2.0,6.0,6.0,1.0,6.0,4.0,3.0,2.0,Completed,1.53,2.37,1.62,2.25,1.53,2.38,1.75,2.2,1.75,2.5,1.62,2.26
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Duckworth J.,Kavcic B.,120.0,102.0,468.0,545.0,6.0,2.0,5.0,7.0,7.0,6.0,3.0,6.0,6.0,2.0,3.0,2.0,Completed,2.37,1.53,2.3,1.6,2.2,1.62,2.4,1.65,2.51,1.7,2.35,1.58
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Baghdatis M.,Gabashvili T.,78.0,67.0,658.0,730.0,6.0,2.0,6.0,7.0,3.0,6.0,6.0,4.0,6.0,4.0,3.0,2.0,Completed,1.5,2.5,1.5,2.45,1.53,2.38,1.56,2.59,1.56,2.7,1.52,2.48
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Rosol L.,De Schepper K.,30.0,94.0,1210.0,565.0,4.0,6.0,6.0,2.0,6.0,7.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,1.57,2.25,1.7,2.1,1.73,2.0,1.68,2.34,1.73,2.4,1.65,2.2
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Sela D.,Struff J.L.,106.0,57.0,520.0,801.0,6.0,4.0,4.0,6.0,3.0,6.0,6.0,3.0,7.0,5.0,3.0,2.0,Completed,2.75,1.4,2.6,1.48,2.62,1.44,2.64,1.55,2.79,1.55,2.63,1.47
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Kokkinakis T.,Gulbis E.,147.0,13.0,361.0,2455.0,5.0,7.0,6.0,0.0,1.0,6.0,7.0,6.0,8.0,6.0,3.0,2.0,Completed,2.37,1.53,2.35,1.55,2.25,1.57,2.4,1.65,2.5,1.65,2.34,1.58
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Kyrgios N.,Delbonis F.,53.0,62.0,830.0,775.0,7.0,6.0,3.0,6.0,6.0,3.0,6.0,7.0,6.0,3.0,3.0,2.0,Completed,1.16,5.0,1.17,4.75,1.17,5.0,1.2,5.24,1.2,5.5,1.17,4.89
6,Melbourne,Australian Open,2015-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Lopez F.,Kudla D.,14.0,123.0,2130.0,452.0,3.0,6.0,6.0,2.0,4.0,6.0,6.0,2.0,10.0,8.0,3.0,2.0,Completed,1.22,4.0,1.28,3.5,1.25,3.75,1.3,3.89,1.33,4.08,1.27,3.67
6,Melbourne,Australian Open,2015-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Soeda G.,Ymer E.,92.0,212.0,571.0,230.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,3.0,6.0,3.0,3.0,2.0,Completed,1.9,1.8,1.82,1.9,1.8,1.91,1.93,1.97,1.95,2.0,1.87,1.89
6,Melbourne,Australian Open,2015-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Stakhovsky S.,Lajovic D.,71.0,68.0,699.0,711.0,6.0,3.0,4.0,6.0,6.0,4.0,6.0,7.0,6.0,4.0,3.0,2.0,Completed,1.5,2.5,1.5,2.5,1.53,2.38,1.54,2.66,1.56,2.66,1.52,2.49
6,Melbourne,Australian Open,2015-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Pospisil V.,Querrey S.,60.0,35.0,785.0,1090.0,6.0,3.0,6.0,7.0,2.0,6.0,6.0,4.0,6.0,4.0,3.0,2.0,Completed,1.72,2.0,1.72,2.05,1.73,2.0,1.81,2.11,1.81,2.2,1.75,2.05
6,Melbourne,Australian Open,2015-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Monfils G.,Pouille L.,19.0,117.0,1770.0,486.0,6.0,7.0,3.0,6.0,6.0,4.0,6.0,1.0,6.0,4.0,3.0,2.0,Completed,1.18,4.5,1.22,4.0,1.2,4.5,1.22,4.85,1.24,4.85,1.21,4.37
6,Melbourne,Australian Open,2015-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Jaziri M.,Roger-Vasselin E.,75.0,119.0,676.0,470.0,1.0,6.0,6.0,3.0,6.0,4.0,1.0,6.0,6.0,3.0,3.0,2.0,Completed,2.5,1.5,2.6,1.45,2.5,1.5,2.66,1.54,2.66,1.55,2.55,1.5
6,Melbourne,Australian Open,2015-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Groth S.,Kokkinakis T.,82.0,147.0,625.0,361.0,3.0,6.0,6.0,3.0,7.0,5.0,3.0,6.0,6.0,1.0,3.0,2.0,Completed,1.61,2.2,1.65,2.2,1.62,2.25,1.72,2.25,1.75,2.33,1.66,2.19
6,Melbourne,Australian Open,2015-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Nadal R.,Smyczek T.,3.0,112.0,6585.0,502.0,6.0,2.0,3.0,6.0,6.0,7.0,6.0,3.0,7.0,5.0,3.0,2.0,Completed,1.02,17.0,1.03,11.0,1.03,12.0,1.03,20.0,1.04,20.0,1.02,13.89
6,Melbourne,Australian Open,2015-01-22,Grand Slam,Outdoor,Hard,2nd Round,5,Janowicz J.,Monfils G.,44.0,19.0,925.0,1770.0,6.0,4.0,1.0,6.0,6.0,7.0,6.0,3.0,6.0,3.0,3.0,2.0,Completed,3.25,1.33,3.0,1.35,3.25,1.33,3.22,1.4,3.3,1.4,3.1,1.36
6,Melbourne,Australian Open,2015-01-22,Grand Slam,Outdoor,Hard,2nd Round,5,Becker B.,Hewitt L.,41.0,87.0,973.0,595.0,2.0,6.0,1.0,6.0,6.0,3.0,6.0,4.0,6.0,2.0,3.0,2.0,Completed,1.72,2.0,1.8,2.0,1.8,2.0,1.88,2.02,1.91,2.1,1.8,1.99
6,Melbourne,Australian Open,2015-01-23,Grand Slam,Outdoor,Hard,3rd Round,5,Dimitrov G.,Baghdatis M.,11.0,78.0,3645.0,658.0,4.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,6.0,3.0,3.0,2.0,Completed,1.2,4.33,1.22,4.0,1.2,4.5,1.27,4.35,1.27,4.6,1.21,4.25
