ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
31,Paris,French Open,2010-05-23,Grand Slam,Outdoor,Clay,1st Round,5,Fognini F.,Massu N.,92.0,91.0,570.0,571.0,6.0,1.0,3.0,6.0,2.0,6.0,6.0,3.0,6.0,3.0,3.0,2.0,Completed,1.72,2.0,1.75,2.0,1.8,1.91,1.72,2.27,1.8,1.9,1.95,2.27,1.73,2.05
31,Paris,French Open,2010-05-23,Grand Slam,Outdoor,Clay,1st Round,5,Tsonga J.W.,Brands D.,10.0,88.0,3185.0,577.0,4.0,6.0,6.0,3.0,6.0,2.0,6.0,7.0,7.0,5.0,3.0,2.0,Completed,1.05,9.0,1.04,9.0,1.06,8.0,1.06,13.0,1.05,8.0,1.08,13.11,1.05,9.19
31,Paris,French Open,2010-05-23,Grand Slam,Outdoor,Clay,1st Round,5,Chiudinelli M.,Devvarman S.,68.0,108.0,715.0,473.0,6.0,3.0,3.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed,1.9,1.8,2.0,1.75,1.83,1.83,1.96,1.96,1.91,1.8,2.0,1.96,1.91,1.83
31,Paris,French Open,2010-05-23,Grand Slam,Outdoor,Clay,1st Round,5,Roger-Vasselin E.,Anderson K.,124.0,93.0,406.0,567.0,1.0,6.0,4.0,6.0,6.0,3.0,7.0,6.0,6.0,1.0,3.0,2.0,Completed,2.25,1.57,2.15,1.65,2.1,1.67,2.4,1.66,2.25,1.57,2.5,1.67,2.26,1.61
31,Paris,French Open,2010-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Ball C.,Petzschner P.,132.0,39.0,391.0,1020.0,6.0,3.0,7.0,6.0,2.0,6.0,5.0,7.0,7.0,9.0,3.0,2.0,Completed,3.75,1.25,3.1,1.33,3.75,1.25,3.67,1.34,3.5,1.25,4.0,1.35,3.56,1.28
31,Paris,French Open,2010-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Nishikori K.,Giraldo S.,246.0,58.0,190.0,821.0,2.0,6.0,4.0,6.0,7.0,6.0,6.0,2.0,6.0,4.0,3.0,2.0,Completed,2.75,1.4,2.8,1.4,2.63,1.44,2.9,1.48,2.75,1.4,3.0,1.55,2.73,1.42
31,Paris,French Open,2010-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Lacko L.,Yani M.,81.0,151.0,614.0,315.0,4.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,12.0,10.0,3.0,2.0,Completed,1.66,2.1,1.85,1.9,1.73,2.0,1.65,2.42,1.73,2.0,1.78,2.42,1.69,2.11
31,Paris,French Open,2010-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Murray A.,Gasquet R.,4.0,45.0,5565.0,920.0,4.0,6.0,6.0,7.0,6.0,4.0,6.0,2.0,6.0,1.0,3.0,2.0,Completed,1.44,2.62,1.5,2.5,1.44,2.63,1.55,2.66,1.5,2.63,1.59,2.89,1.5,2.54
31,Paris,French Open,2010-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Dolgopolov O.,Clement A.,56.0,76.0,824.0,635.0,3.0,6.0,7.0,6.0,3.0,6.0,6.0,3.0,6.0,3.0,3.0,2.0,Completed,1.33,3.25,1.4,2.8,1.36,3.0,1.36,3.49,1.36,2.88,1.4,3.49,1.36,3.04
31,Paris,French Open,2010-05-24,Grand Slam,Outdoor,Clay,1st Round,5,Almagro N.,Haase R.,21.0,205.0,1690.0,230.0,6.0,4.0,3.0,6.0,4.0,6.0,7.0,6.0,6.0,4.0,3.0,2.0,Completed,1.02,12.0,1.04,9.0,1.04,9.0,1.06,13.0,1.03,10.0,1.05,14.0,1.03,10.23
