ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Nieminen J.,Sela D.,39,68.0,1090,706.0,3.0,6.0,7.0,6.0,6.0,7.0,6.0,3.0,6.0,3.0,3.0,2.0,Completed,1.44,2.62,1.5,2.5,1.5,2.5,1.54,2.66,1.5,2.63,1.55,2.74,1.49,2.57
6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,Johnson S.,71,147.0,692,378.0,3.0,6.0,6.0,3.0,6.0,0.0,5.0,7.0,6.0,4.0,3.0,2.0,Completed,2.2,1.61,2.15,1.68,2.1,1.67,2.17,1.78,2.1,1.73,2.25,1.81,2.1,1.71
6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Anderson K.,Vesely J.,21,83.0,1580,636.0,2.0,6.0,6.0,7.0,6.0,4.0,6.0,4.0,6.0,4.0,3.0,2.0,Completed,1.33,3.25,1.33,3.2,1.33,3.25,1.33,3.64,1.36,3.0,1.43,3.64,1.34,3.21
6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Ebden M.,Mahut N.,67,46.0,711,958.0,6.0,3.0,7.0,5.0,4.0,6.0,0.0,6.0,6.0,3.0,3.0,2.0,Completed,2.37,1.53,2.4,1.55,2.38,1.53,2.49,1.61,2.38,1.57,2.7,1.61,2.4,1.55
6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Benneteau J.,Carreno-Busta P.,38,63.0,1090,739.0,6.0,3.0,3.0,6.0,4.0,6.0,6.0,1.0,6.0,2.0,3.0,2.0,Completed,1.3,3.4,1.33,3.2,1.29,3.5,1.33,3.64,1.33,3.25,1.34,3.75,1.31,3.39
6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Rosol L.,18,47.0,1810,956.0,6.0,1.0,6.0,7.0,3.0,6.0,7.0,6.0,8.0,6.0,3.0,2.0,Completed,1.8,1.9,1.88,1.88,1.73,2.0,1.91,2.0,1.8,2.0,1.97,2.02,1.84,1.92
6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Janowicz J.,Thompson J.,20,319.0,1615,139.0,1.0,6.0,4.0,6.0,6.0,4.0,6.0,2.0,6.0,1.0,3.0,2.0,Completed,1.25,3.75,1.28,3.5,1.29,3.75,1.29,3.97,1.25,3.75,1.32,4.05,1.27,3.63
6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Davydenko N.,Kubot L.,61,72.0,760,686.0,3.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,1.57,2.25,1.6,2.3,1.57,2.25,1.63,2.44,1.62,2.25,1.65,2.45,1.59,2.31
6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Matosevic M.,17,54.0,1915,856.0,6.0,3.0,5.0,7.0,6.0,2.0,4.0,6.0,6.0,2.0,3.0,2.0,Completed,1.22,4.0,1.25,3.75,1.29,3.5,1.27,4.18,1.29,3.5,1.29,4.3,1.25,3.85
6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Hewitt L.,25,43.0,1360,1010.0,7.0,6.0,6.0,3.0,5.0,7.0,5.0,7.0,7.0,5.0,3.0,2.0,Completed,4.0,1.22,4.0,1.22,4.33,1.22,4.14,1.28,4.0,1.22,4.33,1.29,3.98,1.24
6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Millot V.,Odesnik W.,267,139.0,170,410.0,7.0,5.0,4.0,6.0,6.0,7.0,6.0,1.0,6.0,3.0,3.0,2.0,Completed,3.0,1.36,2.6,1.48,2.5,1.5,3.07,1.43,2.75,1.44,3.2,1.5,2.76,1.44
6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Brands D.,19,59.0,1790,779.0,6.0,7.0,6.0,4.0,3.0,6.0,6.0,3.0,16.0,14.0,3.0,2.0,Completed,3.0,1.36,1.8,2.0,3.0,1.36,2.91,1.47,2.88,1.4,3.05,1.5,2.83,1.42
6,Melbourne,Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Granollers M.,36,222.0,1130,215.0,4.0,6.0,4.0,6.0,6.0,3.0,6.0,3.0,6.0,2.0,3.0,2.0,Completed,1.16,5.0,1.18,4.5,1.22,4.0,1.2,5.17,1.22,4.0,1.23,5.3,1.19,4.51
