ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Cipolla F.,Davydenko N.,76.0,52.0,671,875.0,6.0,4.0,4.0,6.0,3.0,6.0,6.0,2.0,6.0,1.0,3.0,2.0,Completed,3.5,1.28,3.4,1.3,3.75,1.25,3.61,1.34,3.75,1.22,3.75,1.35,3.48,1.29
6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Stakhovsky S.,Marchenko I.,65.0,246.0,755,192.0,6.0,3.0,6.0,7.0,4.0,6.0,6.0,3.0,7.0,5.0,3.0,2.0,Completed,1.38,2.87,1.35,3.1,1.36,3.0,1.45,2.97,1.36,2.88,1.46,3.25,1.38,2.94
6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Tomic B.,Verdasco F.,38.0,24.0,1048,1550.0,4.0,6.0,6.0,7.0,6.0,4.0,6.0,2.0,7.0,5.0,3.0,2.0,Completed,1.53,2.37,1.5,2.5,1.67,2.1,1.65,2.38,1.57,2.38,1.68,2.55,1.57,2.34
6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Kohlschreiber P.,Monaco J.,41.0,27.0,1005,1335.0,7.0,5.0,4.0,6.0,6.0,3.0,6.0,7.0,6.0,0.0,3.0,2.0,Completed,1.44,2.62,1.5,2.5,1.5,2.5,1.59,2.53,1.57,2.25,1.59,2.63,1.52,2.48
6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Chardy J.,78.0,82.0,666,652.0,4.0,6.0,6.0,3.0,3.0,6.0,6.0,4.0,6.0,4.0,3.0,2.0,Completed,1.5,2.5,1.5,2.5,1.57,2.25,1.6,2.52,1.53,2.38,1.6,2.65,1.54,2.43
6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Young D.,Gojowczyk P.,42.0,248.0,1004,192.0,6.0,1.0,6.0,2.0,4.0,6.0,1.0,6.0,6.0,2.0,3.0,2.0,Completed,1.53,2.37,1.55,2.4,1.57,2.25,1.6,2.52,1.62,2.2,1.7,2.65,1.57,2.34
6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Lacko L.,Ljubicic I.,119.0,30.0,491,1270.0,3.0,6.0,4.0,6.0,6.0,3.0,6.0,4.0,6.0,4.0,3.0,2.0,Completed,1.66,2.1,1.85,1.9,1.83,1.83,1.7,2.29,1.73,2.0,2.0,2.29,1.8,1.96
6,Melbourne,Australian Open,2012-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Dolgopolov O.,Jones G.,13.0,198.0,2030,245.0,1.0,6.0,4.0,6.0,6.0,1.0,6.0,1.0,6.0,2.0,3.0,2.0,Completed,1.04,13.0,1.05,9.0,1.05,9.0,1.05,13.0,1.05,8.0,1.07,13.0,1.05,9.78
6,Melbourne,Australian Open,2012-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Golubev A.,Youzhny M.,146.0,35.0,362,1105.0,7.0,5.0,6.0,7.0,6.0,4.0,4.0,6.0,6.0,3.0,3.0,2.0,Completed,4.5,1.18,3.75,1.25,4.0,1.22,5.23,1.2,4.0,1.2,5.23,1.25,4.23,1.21
6,Melbourne,Australian Open,2012-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Granollers M.,Levine J.,28.0,158.0,1315,320.0,6.0,0.0,7.0,6.0,5.0,7.0,5.0,7.0,6.0,3.0,3.0,2.0,Completed,1.3,3.4,1.35,3.1,1.33,3.25,1.32,3.71,1.29,3.25,1.37,3.71,1.33,3.23
