ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Dzumhur D.,Edmund K.,81.0,88.0,661.0,625.0,1.0,6.0,7.0,6.0,4.0,6.0,6.0,3.0,6.0,1.0,3.0,2.0,Completed,3.75,1.25,3.75,1.25,3.75,1.29,3.69,1.33,3.9,1.33,3.62,1.28
6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Olivo R.,Vesely J.,174.0,50.0,296.0,840.0,7.0,6.0,2.0,6.0,1.0,6.0,6.0,4.0,6.0,4.0,3.0,2.0,Completed,5.5,1.14,4.8,1.16,5.5,1.14,5.23,1.2,5.6,1.2,5.04,1.16
6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Bautista R.,Klizan M.,21.0,43.0,1640.0,955.0,6.0,2.0,6.0,3.0,4.0,6.0,2.0,6.0,6.0,2.0,3.0,2.0,Completed,1.1,7.0,1.1,6.0,1.12,6.0,1.1,8.67,1.11,9.0,1.08,7.55
6,Melbourne,Australian Open,2016-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Chardy J.,Gulbis E.,31.0,79.0,1255.0,661.0,7.0,5.0,2.0,6.0,6.0,7.0,6.0,3.0,13.0,11.0,3.0,2.0,Completed,1.33,3.25,1.4,2.9,1.36,3.25,1.35,3.54,1.4,3.54,1.34,3.24
6,Melbourne,Australian Open,2016-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Pella G.,Darcis S.,75.0,110.0,693.0,538.0,2.0,6.0,3.0,6.0,6.0,3.0,7.0,5.0,6.0,1.0,3.0,2.0,Completed,1.53,2.37,1.52,2.45,1.62,2.25,1.56,2.61,1.73,2.61,1.56,2.41
6,Melbourne,Australian Open,2016-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Jaziri M.,42.0,104.0,1000.0,566.0,7.0,5.0,3.0,6.0,4.0,6.0,7.0,6.0,8.0,6.0,3.0,2.0,Completed,1.28,3.5,1.25,3.5,1.29,3.75,1.33,3.65,1.33,3.8,1.29,3.53
6,Melbourne,Australian Open,2016-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Nadal R.,45.0,5.0,900.0,5230.0,7.0,6.0,4.0,6.0,3.0,6.0,7.0,6.0,6.0,2.0,3.0,2.0,Completed,8.0,1.08,6.5,1.1,8.0,1.08,9.28,1.09,9.28,1.11,7.88,1.08
6,Melbourne,Australian Open,2016-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Rosol L.,Daniel T.,51.0,99.0,827.0,603.0,7.0,6.0,7.0,5.0,5.0,7.0,6.0,7.0,6.0,1.0,3.0,2.0,Completed,1.33,3.25,1.33,3.1,1.36,3.25,1.38,3.32,1.38,3.5,1.35,3.16
6,Melbourne,Australian Open,2016-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Sock J.,Fritz T.,22.0,155.0,1525.0,372.0,6.0,4.0,3.0,6.0,0.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,1.44,2.62,1.42,2.7,1.5,2.62,1.53,2.7,1.58,2.9,1.46,2.67
6,Melbourne,Australian Open,2016-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Troicki V.,Munoz-De La Nava D.,26.0,71.0,1475.0,718.0,4.0,6.0,4.0,6.0,6.0,1.0,7.0,6.0,6.0,3.0,3.0,2.0,Completed,1.12,6.0,1.12,5.75,1.11,6.5,1.14,6.7,1.15,7.0,1.12,6.08
6,Melbourne,Australian Open,2016-01-20,Grand Slam,Outdoor,Hard,2nd Round,5,Delbonis F.,Olivo R.,53.0,174.0,815.0,296.0,7.0,6.0,3.0,6.0,6.0,7.0,7.0,5.0,6.0,2.0,3.0,2.0,Completed,1.36,3.0,1.35,3.1,1.36,3.25,1.38,3.35,1.38,3.4,1.35,3.13
6,Melbourne,Australian Open,2016-01-20,Grand Slam,Outdoor,Hard,2nd Round,5,Simon G.,Donskoy E.,15.0,91.0,2145.0,620.0,6.0,3.0,5.0,7.0,7.0,6.0,4.0,6.0,7.0,5.0,3.0,2.0,Completed,1.11,6.5,1.12,5.75,1.1,7.0,1.14,6.9,1.14,7.0,1.12,6.17
6,Melbourne,Australian Open,2016-01-20,Grand Slam,Outdoor,Hard,2nd Round,5,Bautista R.,Lajovic D.,21.0,77.0,1640.0,678.0,4.0,6.0,6.0,2.0,4.0,6.0,6.0,2.0,6.0,1.0,3.0,2.0,Completed,1.12,6.0,1.12,5.6,1.14,5.5,1.12,7.71,1.16,7.71,1.12,6.13
6,Melbourne,Australian Open,2016-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Robert S.,Ram R.,225.0,93.0,233.0,617.0,6.0,1.0,6.0,7.0,4.0,6.0,7.0,5.0,7.0,5.0,3.0,2.0,Completed,1.57,2.25,1.6,2.3,1.57,2.38,1.65,2.39,1.65,2.5,1.58,2.36
6,Melbourne,Australian Open,2016-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Lopez F.,Pella G.,19.0,75.0,1690.0,693.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,4.0,3.0,2.0,Completed,1.11,6.5,1.11,5.75,1.11,6.5,1.17,5.91,1.17,7.08,1.12,6.18
6,Melbourne,Australian Open,2016-01-21,Grand Slam,Outdoor,Hard,2nd Round,5,Millman J.,Muller G.,95.0,38.0,611.0,1105.0,4.0,6.0,6.0,4.0,6.0,2.0,4.0,6.0,7.0,5.0,3.0,2.0,Completed,3.75,1.25,3.7,1.25,3.75,1.29,3.87,1.31,3.9,1.31,3.69,1.27
6,Melbourne,Australian Open,2016-01-24,Grand Slam,Outdoor,Hard,4th Round,5,Djokovic N.,Simon G.,1.0,15.0,16790.0,2145.0,6.0,3.0,6.0,7.0,6.0,4.0,4.0,6.0,6.0,3.0,3.0,2.0,Completed,1.01,21.0,1.01,13.0,1.02,17.0,1.02,27.16,1.02,34.0,1.01,18.36
6,Melbourne,Australian Open,2016-01-24,Grand Slam,Outdoor,Hard,4th Round,5,Berdych T.,Bautista R.,6.0,21.0,4560.0,1640.0,4.0,6.0,6.0,4.0,6.0,3.0,1.0,6.0,6.0,3.0,3.0,2.0,Completed,1.25,4.0,1.25,3.75,1.29,3.75,1.28,4.18,1.29,4.18,1.25,3.89
6,Melbourne,Australian Open,2016-01-25,Grand Slam,Outdoor,Hard,4th Round,5,Raonic M.,Wawrinka S.,14.0,4.0,2270.0,6865.0,6.0,4.0,6.0,3.0,5.0,7.0,4.0,6.0,6.0,3.0,3.0,2.0,Completed,2.37,1.57,2.35,1.55,2.38,1.57,2.38,1.67,2.45,1.69,2.34,1.6
6,Melbourne,Australian Open,2016-01-29,Grand Slam,Outdoor,Hard,Semifinals,5,Murray A.,Raonic M.,2.0,14.0,8945.0,2270.0,4.0,6.0,7.0,5.0,6.0,7.0,6.0,4.0,6.0,2.0,3.0,2.0,Completed,1.36,3.25,1.38,3.0,1.33,3.4,1.4,3.35,1.41,3.5,1.36,3.19
33,Paris,French Open,2016-05-22,Grand Slam,Outdoor,Clay,1st Round,5,Paire B.,Albot R.,21.0,137.0,1641.0,423.0,6.0,2.0,4.0,6.0,6.0,4.0,1.0,6.0,6.0,4.0,3.0,2.0,Completed,1.14,5.0,1.15,4.6,1.17,5.0,1.17,6.02,1.2,6.02,1.16,5.11
33,Paris,French Open,2016-05-23,Grand Slam,Outdoor,Clay,1st Round,5,Wawrinka S.,Rosol L.,4.0,59.0,6315.0,815.0,4.0,6.0,6.0,1.0,3.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,1.07,9.0,1.06,7.5,1.06,9.0,1.06,10.28,1.07,11.0,1.06,9.12
33,Paris,French Open,2016-05-23,Grand Slam,Outdoor,Clay,1st Round,5,Pavlasek A.,Carballes Baena R.,132.0,114.0,442.0,523.0,6.0,2.0,4.0,6.0,6.0,3.0,1.0,6.0,6.0,1.0,3.0,2.0,Completed,2.37,1.53,2.3,1.55,2.5,1.53,2.16,1.78,2.45,1.78,2.31,1.61
33,Paris,French Open,2016-05-23,Grand Slam,Outdoor,Clay,1st Round,5,Troicki V.,Dimitrov G.,24.0,36.0,1535.0,1150.0,2.0,6.0,6.0,3.0,5.0,7.0,7.0,5.0,6.0,3.0,3.0,2.0,Completed,2.37,1.53,2.25,1.55,2.38,1.57,2.57,1.57,2.63,1.59,2.44,1.55
33,Paris,French Open,2016-05-23,Grand Slam,Outdoor,Clay,1st Round,5,Daniel T.,Klizan M.,93.0,45.0,614.0,960.0,3.0,6.0,4.0,6.0,7.0,5.0,6.0,4.0,3.0,0.0,2.0,2.0,Retired,1.4,2.75,1.45,2.55,1.44,2.75,1.39,3.28,1.48,3.28,1.43,2.79
33,Paris,French Open,2016-05-23,Grand Slam,Outdoor,Clay,1st Round,5,Dodig I.,Youzhny M.,77.0,78.0,708.0,707.0,6.0,4.0,5.0,7.0,7.0,5.0,2.0,6.0,6.0,3.0,3.0,2.0,Completed,1.53,2.37,1.58,2.2,1.62,2.25,1.68,2.34,1.68,2.4,1.61,2.29
