"","tourney_date","tourney_name","surface","draw_size","tourney_level","match_num","winner_id","loser_id","best_of","winner_rank","winner_rank_points","loser_rank","loser_rank_points","player_rank","player_id"
"51",2010-10-10,"Shanghai Masters","Hard",56,"M",10,104542,103852,"3",13,2390,22,1685,22,"Feliciano Lopez"
"52",2010-10-18,"Stockholm","Hard",28,"A",10,104252,103852,"3",47,986,30,1335,30,"Feliciano Lopez"
"53",2010-10-31,"Valencia","Hard",32,"A",1,104918,103852,"3",4,6125,31,1335,31,"Feliciano Lopez"
"54",2010-11-07,"Paris Masters","Hard",48,"M",8,103096,103852,"3",72,697,31,1300,31,"Feliciano Lopez"
"55",2011-01-02,"Brisbane","Hard",32,"A",9,103852,104332,"3",32,1300,57,839,32,"Feliciano Lopez"
"56",2011-01-02,"Brisbane","Hard",32,"A",21,104731,103852,"3",61,813,32,1300,32,"Feliciano Lopez"
"57",2011-01-10,"Sydney","Hard",28,"A",10,105223,103852,"3",259,180,32,1310,32,"Feliciano Lopez"
"58",2011-01-17,"Australian Open","Hard",128,"G",4,103852,104268,"5",31,1310,103,540,31,"Feliciano Lopez"
"59",2011-01-17,"Australian Open","Hard",128,"G",66,106071,103852,"5",199,251,31,1310,31,"Feliciano Lopez"
"60",2011-01-31,"Johannesburg","Hard",32,"A",1,104433,103852,"3",234,207,33,1265,33,"Feliciano Lopez"
"61",2011-02-07,"Rotterdam","Hard",32,"A",15,103852,104252,"3",44,1025,35,1168,44,"Feliciano Lopez"
"62",2011-02-07,"Rotterdam","Hard",32,"A",24,104571,103852,"3",20,1580,44,1025,44,"Feliciano Lopez"
"63",2011-02-21,"Dubai","Hard",32,"A",15,103852,104229,"3",41,1060,42,1059,41,"Feliciano Lopez"
"64",2011-02-21,"Dubai","Hard",32,"A",24,104925,103852,"3",3,7880,41,1060,41,"Feliciano Lopez"
"65",2011-03-04,"Davis Cup WG R1: BEL vs ESP","Hard",4,"D",5,104327,103852,"3",129,439,40,1085,40,"Feliciano Lopez"
"66",2011-03-10,"Indian Wells Masters","Hard",96,"M",20,103898,103852,"3",82,600,41,1085,41,"Feliciano Lopez"
"67",2011-03-23,"Miami Masters","Hard",96,"M",2,103852,105575,"3",41,1050,75,663,41,"Feliciano Lopez"
"68",2011-03-23,"Miami Masters","Hard",96,"M",34,103852,103428,"3",41,1050,28,1305,41,"Feliciano Lopez"
"69",2011-03-23,"Miami Masters","Hard",96,"M",65,104745,103852,"3",1,12630,41,1050,41,"Feliciano Lopez"
"70",2011-04-10,"Monte Carlo Masters","Clay",56,"M",18,103852,104386,"3",43,1050,37,1100,43,"Feliciano Lopez"
"71",2011-04-10,"Monte Carlo Masters","Clay",56,"M",36,103970,103852,"3",6,4600,43,1050,43,"Feliciano Lopez"
"72",2011-04-18,"Barcelona","Clay",56,"A",11,103852,105062,"3",42,1050,65,800,42,"Feliciano Lopez"
"73",2011-04-18,"Barcelona","Clay",56,"A",31,103852,104198,"3",42,1050,26,1330,42,"Feliciano Lopez"
"74",2011-04-18,"Barcelona","Clay",56,"A",44,103852,105453,"3",42,1050,48,962,42,"Feliciano Lopez"
"75",2011-04-18,"Barcelona","Clay",56,"A",50,104471,103852,"3",56,879,42,1050,42,"Feliciano Lopez"
"76",2011-04-25,"Belgrade","Clay",28,"A",7,103852,104338,"3",37,1095,38,1085,37,"Feliciano Lopez"
"77",2011-04-25,"Belgrade","Clay",28,"A",17,103852,103602,"3",37,1095,516,55,37,"Feliciano Lopez"
"78",2011-04-25,"Belgrade","Clay",28,"A",23,103852,103656,"3",37,1095,28,1270,37,"Feliciano Lopez"
"79",2011-04-25,"Belgrade","Clay",28,"A",26,103852,103835,"3",37,1095,80,656,37,"Feliciano Lopez"
"80",2011-04-25,"Belgrade","Clay",28,"A",27,104925,103852,"3",2,9640,37,1095,37,"Feliciano Lopez"
"81",2011-05-01,"Madrid Masters","Clay",56,"M",7,103852,105683,"3",39,1065,25,1357,39,"Feliciano Lopez"
"82",2011-05-01,"Madrid Masters","Clay",56,"M",29,103819,103852,"3",3,8690,39,1065,39,"Feliciano Lopez"
"83",2011-05-08,"Rome Masters","Clay",56,"M",2,103852,103566,"3",40,1065,21,1455,40,"Feliciano Lopez"
"84",2011-05-08,"Rome Masters","Clay",56,"M",26,103852,104259,"3",40,1065,45,1010,40,"Feliciano Lopez"
"85",2011-05-08,"Rome Masters","Clay",56,"M",41,104745,103852,"3",1,12470,40,1065,40,"Feliciano Lopez"
"86",2011-05-22,"Roland Garros","Clay",128,"G",48,103819,103852,"5",3,8390,41,1065,41,"Feliciano Lopez"
"87",2011-06-06,"Queen's Club","Grass",56,"A",18,103852,104098,"3",41,1065,70,689,41,"Feliciano Lopez"
"88",2011-06-06,"Queen's Club","Grass",56,"A",36,104053,103852,"3",10,2200,41,1065,41,"Feliciano Lopez"
"89",2011-06-12,"Eastbourne","Grass",32,"A",7,105777,105554,"3",64,781,305,149,305,"Daniel Evans"
"90",2011-06-20,"Wimbledon","Grass",128,"G",30,103852,103582,"5",44,1020,76,635,44,"Feliciano Lopez"
"91",2011-06-20,"Wimbledon","Grass",128,"G",53,104252,105554,"5",18,1600,301,149,301,"Daniel Evans"
"92",2011-06-20,"Wimbledon","Grass",128,"G",79,103852,102783,"5",44,1020,113,481,44,"Feliciano Lopez"
"93",2011-06-20,"Wimbledon","Grass",128,"G",104,103852,104053,"5",44,1020,10,2200,44,"Feliciano Lopez"
"94",2011-06-20,"Wimbledon","Grass",128,"G",116,103852,103997,"5",44,1020,93,563,44,"Feliciano Lopez"
"95",2011-06-20,"Wimbledon","Grass",128,"G",122,104918,103852,"5",4,6855,44,1020,44,"Feliciano Lopez"
"96",2011-07-08,"Davis Cup WG QF: USA vs ESP","Hard",4,"D",1,103852,103888,"5",31,1290,8,2650,31,"Feliciano Lopez"
"97",2011-07-25,"Gstaad","Clay",28,"A",3,103852,103967,"3",24,1390,365,113,24,"Feliciano Lopez"
"98",2011-07-25,"Gstaad","Clay",28,"A",14,103852,104593,"3",24,1390,67,725,24,"Feliciano Lopez"
"99",2011-07-25,"Gstaad","Clay",28,"A",21,104597,103852,"3",10,2165,24,1390,24,"Feliciano Lopez"
