tourney_date,tourney_name,surface,draw_size,tourney_level,match_num,winner_id,loser_id,best_of,winner_rank,winner_rank_points,loser_rank,loser_rank_points
297,Clay,32,A,20000717,101969,,,QF,,,,
296,Clay,32,A,20000717,101885,,,QF,,,,
295,Clay,32,A,20000717,102769,,,QF,,,,
294,Clay,32,A,20000717,102817,,,QF,,,,
293,Clay,32,A,20000717,102529,,,R16,,,,
292,Clay,32,A,20000717,101885,,,R16,,,,
291,Clay,32,A,20000717,102057,,,R16,,,,
290,Clay,32,A,20000717,101733,,,R16,,,,
289,Clay,32,A,20000717,102231,,,R16,,,,
288,Clay,32,A,20000717,102817,,,R16,,,,
287,Clay,32,A,20000717,102769,,,R16,,,,
286,Clay,32,A,20000717,101969,,,R16,,,,
300,Clay,48,A,20000724,101341,,,F,,,,
299,Clay,48,A,20000724,102215,,,SF,,,,
298,Clay,48,A,20000724,101341,,,SF,,,,
297,Clay,48,A,20000724,102215,,,QF,,,,
296,Clay,48,A,20000724,101904,,,QF,,,,
295,Clay,48,A,20000724,101841,,,QF,,,,
294,Clay,48,A,20000724,101341,,,QF,,,,
293,Clay,48,A,20000724,101826,,,R16,,,,
292,Clay,48,A,20000724,102215,,,R16,,,,
291,Clay,48,A,20000724,102057,,,R16,,,,
290,Clay,48,A,20000724,102463,,,R16,,,,
289,Clay,48,A,20000724,101904,,,R16,,,,
288,Clay,48,A,20000724,101841,,,R16,,,,
287,Clay,48,A,20000724,101885,,,R16,,,,
286,Clay,48,A,20000724,101341,,,R16,,,,
285,Clay,48,A,20000724,102057,,,R32,,,,
284,Clay,48,A,20000724,103201,,,R32,,,,
283,Clay,48,A,20000724,101806,,,R32,,,,
282,Clay,48,A,20000724,103602,,,R32,,,,
281,Clay,48,A,20000724,101826,,,R32,,,,
280,Clay,48,A,20000724,103594,,,R32,,,,
279,Clay,48,A,20000724,102664,,,R32,,,,
278,Clay,48,A,20000724,102149,,,R32,,,,
300,Clay,32,A,20000717,102562,,,F,,,,
299,Clay,32,A,20000717,102562,,,SF,,,,
298,Clay,32,A,20000717,102463,,,SF,,,,
297,Clay,32,A,20000717,102562,,,QF,,,,
296,Clay,32,A,20000717,101682,,,QF,,,,
295,Clay,32,A,20000717,102463,,,QF,,,,
294,Clay,32,A,20000717,102388,,,QF,,,,
293,Clay,32,A,20000717,102562,,,R16,,,,
292,Clay,32,A,20000717,101682,,,R16,,,,
291,Clay,32,A,20000717,102796,,,R16,,,,
290,Clay,32,A,20000717,102463,,,R16,,,,
289,Clay,32,A,20000717,102388,,,R16,,,,
288,Clay,32,A,20000717,102426,,,R16,,,,
287,Clay,32,A,20000717,102306,,,R16,,,,
286,Clay,32,A,20000717,102600,,,R16,,,,
300,Clay,32,A,20000925,101507,,,F,,,,
299,Clay,32,A,20000925,101507,,,SF,,,,
298,Clay,32,A,20000925,101341,,,SF,,,,
297,Clay,32,A,20000925,101507,,,QF,,,,
296,Clay,32,A,20000925,101341,,,QF,,,,
295,Clay,32,A,20000925,102057,,,QF,,,,
294,Clay,32,A,20000925,103115,,,QF,,,,
293,Clay,32,A,20000925,101507,,,R16,,,,
292,Clay,32,A,20000925,102388,,,R16,,,,
291,Clay,32,A,20000925,103115,,,R16,,,,
290,Clay,32,A,20000925,102251,,,R16,,,,
289,Clay,32,A,20000925,101341,,,R16,,,,
288,Clay,32,A,20000925,102607,,,R16,,,,
287,Clay,32,A,20000925,102057,,,R16,,,,
286,Clay,32,A,20000925,102247,,,R16,,,,
300,Hard,32,A,20001016,102369,,,F,,,,
299,Hard,32,A,20001016,101515,,,SF,,,,
298,Hard,32,A,20001016,102369,,,SF,,,,
297,Hard,32,A,20001016,101515,,,QF,,,,
296,Hard,32,A,20001016,102369,,,QF,,,,
295,Hard,32,A,20001016,102374,,,QF,,,,
294,Hard,32,A,20001016,101904,,,QF,,,,
293,Hard,32,A,20001016,101904,,,R16,,,,
292,Hard,32,A,20001016,102374,,,R16,,,,
291,Hard,32,A,20001016,101515,,,R16,,,,
290,Hard,32,A,20001016,102998,,,R16,,,,
289,Hard,32,A,20001016,101565,,,R16,,,,
288,Hard,32,A,20001016,102369,,,R16,,,,
287,Hard,32,A,20001016,101507,,,R16,,,,
286,Hard,32,A,20001016,102149,,,R16,,,,
300,Carpet,32,A,20001023,101515,,,F,,,,
299,Carpet,32,A,20001023,101515,,,SF,,,,
298,Carpet,32,A,20001023,103819,,,SF,,,,
297,Carpet,32,A,20001023,101682,,,QF,,,,
296,Carpet,32,A,20001023,103819,,,QF,,,,
295,Carpet,32,A,20001023,101515,,,QF,,,,
294,Carpet,32,A,20001023,102998,,,QF,,,,
293,Carpet,32,A,20001023,101235,,,R16,,,,
292,Carpet,32,A,20001023,102567,,,R16,,,,
291,Carpet,32,A,20001023,101711,,,R16,,,,
290,Carpet,32,A,20001023,101515,,,R16,,,,
289,Carpet,32,A,20001023,101682,,,R16,,,,
288,Carpet,32,A,20001023,103819,,,R16,,,,
287,Carpet,32,A,20001023,102998,,,R16,,,,
286,Carpet,32,A,20001023,101904,,,R16,,,,
300,Hard,56,A,20001009,102405,,,F,,,,
299,Hard,56,A,20001009,102422,,,SF,,,,
298,Hard,56,A,20001009,102405,,,SF,,,,
297,Hard,56,A,20001009,101885,,,QF,,,,
296,Hard,56,A,20001009,102405,,,QF,,,,
295,Hard,56,A,20001009,102422,,,QF,,,,
294,Hard,56,A,20001009,103454,,,QF,,,,
293,Hard,56,A,20001009,101885,,,R16,,,,
292,Hard,56,A,20001009,102035,,,R16,,,,
291,Hard,56,A,20001009,102286,,,R16,,,,
290,Hard,56,A,20001009,103454,,,R16,,,,
289,Hard,56,A,20001009,102422,,,R16,,,,
288,Hard,56,A,20001009,102405,,,R16,,,,
287,Hard,56,A,20001009,101424,,,R16,,,,
286,Hard,56,A,20001009,103294,,,R16,,,,
285,Hard,56,A,20001009,102422,,,R32,,,,
284,Hard,56,A,20001009,101424,,,R32,,,,
283,Hard,56,A,20001009,103294,,,R32,,,,
282,Hard,56,A,20001009,102198,,,R32,,,,
281,Hard,56,A,20001009,102405,,,R32,,,,
280,Hard,56,A,20001009,102247,,,R32,,,,
279,Hard,56,A,20001009,102834,,,R32,,,,
278,Hard,56,A,20001009,103240,,,R32,,,,
277,Hard,56,A,20001009,102856,,,R32,,,,
276,Hard,56,A,20001009,102664,,,R32,,,,
275,Hard,56,A,20001009,102854,,,R32,,,,
274,Hard,56,A,20001009,102529,,,R32,,,,
300,Hard,32,A,20001002,102286,,,F,,,,
299,Hard,32,A,20001002,103103,,,SF,,,,
298,Hard,32,A,20001002,102286,,,SF,,,,
297,Hard,32,A,20001002,103103,,,QF,,,,
296,Hard,32,A,20001002,102286,,,QF,,,,
295,Hard,32,A,20001002,103017,,,QF,,,,
294,Hard,32,A,20001002,102422,,,QF,,,,
293,Hard,32,A,20001002,103103,,,R16,,,,
292,Hard,32,A,20001002,102286,,,R16,,,,
291,Hard,32,A,20001002,102035,,,R16,,,,
290,Hard,32,A,20001002,102422,,,R16,,,,
289,Hard,32,A,20001002,101647,,,R16,,,,
288,Hard,32,A,20001002,103017,,,R16,,,,
287,Hard,32,A,20001002,102258,,,R16,,,,
286,Hard,32,A,20001002,102529,,,R16,,,,
300,Hard,32,A,20001009,102338,,,F,,,,
299,Hard,32,A,20001009,102562,,,SF,,,,
298,Hard,32,A,20001009,102338,,,SF,,,,
297,Hard,32,A,20001009,102562,,,QF,,,,
296,Hard,32,A,20001009,103018,,,QF,,,,
295,Hard,32,A,20001009,101327,,,QF,,,,
294,Hard,32,A,20001009,102338,,,QF,,,,
293,Hard,32,A,20001009,102578,,,R16,,,,
292,Hard,32,A,20001009,102562,,,R16,,,,
291,Hard,32,A,20001009,102215,,,R16,,,,
290,Hard,32,A,20001009,101515,,,R16,,,,
289,Hard,32,A,20001009,101904,,,R16,,,,
288,Hard,32,A,20001009,102338,,,R16,,,,
287,Hard,32,A,20001009,103018,,,R16,,,,
286,Hard,32,A,20001009,101327,,,R16,,,,
300,Hard,32,A,20000110,101185,,,F,,,,
299,Hard,32,A,20000110,101185,,,SF,,,,
298,Hard,32,A,20000110,103720,,,SF,,,,
297,Hard,32,A,20000110,101185,,,QF,,,,
296,Hard,32,A,20000110,101682,,,QF,,,,
295,Hard,32,A,20000110,101885,,,QF,,,,
294,Hard,32,A,20000110,103720,,,QF,,,,
293,Hard,32,A,20000110,101185,,,R16,,,,
