"tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points"
"2010-339","Brisbane","Hard",32,"A",20100103,1,104053,1,NA,"Andy Roddick","R",188,"USA",27.3,103429,NA,NA,"Peter Luczak","R",183,"AUS",30.3,"7-6(5) 6-2",3,"R32",84,15,0,63,42,36,14,10,3,3,4,2,56,34,29,11,10,3,5,7,4410,77,598
"2010-339","Brisbane","Hard",32,"A",20100103,2,104958,NA,"WC","Carsten Ball","L",198,"AUS",22.5,104999,NA,NA,"Mischa Zverev","L",190,"GER",22.3,"7-5 6-1",3,"R32",70,10,3,57,30,23,19,10,0,0,2,2,66,34,22,14,9,7,10,134,400,78,590
"2010-339","Brisbane","Hard",32,"A",20100103,3,104755,NA,NA,"Richard Gasquet","R",185,"FRA",23.5,103813,NA,NA,"Jarkko Nieminen","L",185,"FIN",28.4,"6-3 4-6 6-4",3,"R32",121,5,4,97,51,33,27,15,5,8,4,0,85,58,38,14,14,7,11,52,850,88,568
"2010-339","Brisbane","Hard",32,"A",20100103,4,105051,NA,"Q","Matthew Ebden","R",188,"AUS",22.1,103781,6,NA,"Jurgen Melzer","L",183,"AUT",28.6,"7-5 6-1",3,"R32",64,12,1,50,35,30,12,10,3,3,2,1,53,29,16,15,9,2,5,285,151,28,1260
"2010-339","Brisbane","Hard",32,"A",20100103,5,104607,4,NA,"Tomas Berdych","R",196,"CZE",24.2,105194,NA,"Q","Nick Lindahl","R",183,"AUS",21.4,"6-2 6-4",3,"R32",69,3,1,46,27,24,14,9,1,1,6,1,69,41,26,14,9,6,9,20,1655,251,179
"2010-339","Brisbane","Hard",32,"A",20100103,6,104571,NA,NA,"Marcos Baghdatis","R",183,"CYP",24.5,103888,NA,NA,"Mardy Fish","R",188,"USA",28,"7-5 7-5",3,"R32",101,7,5,62,32,27,17,12,0,1,7,3,77,36,28,20,12,3,6,42,945,55,790
